Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Butter Chicken Dirty Samosa,"Baked potato samosas with butter chicken, fresh mint mayonnaise, chives and potato strings.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Dirty Samosa Platter,"Baked potato samosas with butter chicken, fresh mint mayonnaise, chives and potato strings.",Indian Fusion,300,15,,Dirty-Samosa-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Mac & Cheese,"Macroni, cheddar, mozzarella, chives and butter chicken.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Mac & Cheese Platter,"Macroni, cheddar, mozzarella, chives and butter chicken.",Indian Fusion,300,15,,Mac-&-Cheese-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Sandwich,"Ciabatta bun, butter chicken, house mayo, kale slaw and pickled onions.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Sandwich Platter,"Ciabatta bun, butter chicken, house mayo, kale slaw and pickled onions.",Indian Fusion,300,15,,Sandwich-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Tacos,"Freshly made flour tortillas with butter chicken, mint mayo, pico de gallo, fresh jalapeno, cilantro and pickled onions.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Tacos Platter,"Freshly made flour tortillas with butter chicken, mint mayo, pico de gallo, fresh jalapeno, cilantro and pickled onions.",Indian Fusion,300,15,,Indian-Tacos-Platter,FALSE,FALSE,FALSE,Platter
Butter Chicken Tuscan Salad,"House citrus dressing, pumpkin seeds, cheese nacho crumbs, diced tomatoes, chickpeas, jalapeno and butter chicken.",Indian Fusion,16.5,,,Individually-Packed,FALSE,FALSE,FALSE,Individual
Butter Chicken Tuscan Salad Platter,"House citrus dressing, pumpkin seeds, cheese nacho crumbs, diced tomatoes, chickpeas, jalapeno and butter chicken.",Indian Fusion,300,15,,Tuscan-Salad-Platter,FALSE,FALSE,FALSE,Platter
